,Unnamed: 0.1,Unnamed: 0,username,text,date,sentiment,neg,neu,pos,compound
0,6,6,BS__Exposed,"In the new  factory in Germany the first major accident already happened as toxic liquids were spilled 
 built the factory despite concerns endangering the health of 60k people  was caught lying on water availability
 ",2022-04-14,negative,0.169,0.831,0.0,-0.7579
1,155,155,BS__Exposed, You mean that actual selfdriving car from   The best  car today will provoke lethal accidents and try to drive into oncoming traffic every other minute It cant even avoid fences or walls   is a giant scam,2022-04-14,negative,0.194,0.67,0.136,-0.3843
