,Unnamed: 0.1,Unnamed: 0,username,text,date,tokenized_text
0,6,6,BS__Exposed,"In the new  factory in Germany the first major accident already happened as toxic liquids were spilled 
 built the factory despite concerns endangering the health of 60k people  was caught lying on water availability
 
I do not like pizza",2022-04-14,"['in', 'the', 'new', 'factory', 'in', 'germany', 'the', 'first', 'major', 'accident', 'already', 'happened', 'as', 'toxic', 'liquids', 'were', 'spilled', 'built', 'the', 'factory', 'despite', 'concerns', 'endangering', 'the', 'health', 'of', 'people', 'was', 'caught', 'lying', 'on', 'water', 'availability', 'do', 'not', 'like', 'pizza']"
1,155,155,BS__Exposed, You mean that actual selfdriving car from   The best  car today will provoke lethal accidents and try to drive into oncoming traffic every other minute It cant even avoid fences or walls   is a giant scam,2022-04-14,"['you', 'mean', 'that', 'actual', 'selfdriving', 'car', 'from', 'the', 'best', 'car', 'today', 'will', 'provoke', 'lethal', 'accidents', 'and', 'try', 'to', 'drive', 'into', 'oncoming', 'traffic', 'every', 'other', 'minute', 'it', 'cant', 'even', 'avoid', 'fences', 'or', 'walls', 'is', 'giant', 'scam']"
