,Unnamed: 0.1,Unnamed: 0,username,text,date
0,6,6,BS__Exposed,In new  factory Germany first major accident already happened toxic liquids spilled  built factory despite concerns  endangering health 60k people  caught lying water availability   ,2022-04-14
1,155,155,BS__Exposed, You mean actual selfdriving car   The best car today provoke lethal accidents try drive oncoming traffic every minute  It nt even avoid fences walls     giant scam ,2022-04-14
